sample,dr_LAL,dr_LAM,dr_LAU,bar_LAL,bar_LAM,bar_LAU,sp_LAL,sp_LAM,sp_LAU
65,0.536161426,0.537180916,0.28520632,1.560173231,1.664415727,1.584809429,0.511508042,0.477297829,0.480000763
66,0.632581448,0.545459982,0.211241817,1.565199423,1.669656518,1.718877134,0.488047386,0.473259552,0.451895416
67,0.511476123,0.676631916,0.21722658,1.625762168,1.605750365,1.784786516,0.468264138,0.49180114,0.471647178
68,0.550357096,0.463264448,0.235604974,1.559791754,1.623347818,1.597738108,0.472233693,0.479670487,0.478555904
69,0.637292332,0.535322406,0.311533835,1.682308334,1.732275864,1.670675427,0.490509293,0.488236395,0.481742016
70,0.511969389,0.450962104,0.131921164,1.655236673,1.721304154,1.65843478,0.477580468,0.467006772,0.454390639
71,0.512461764,0.623049792,0.378043913,1.584626961,1.588138174,1.64608968,0.481521565,0.494112684,0.465332632
72,0.361183993,0.586141049,0.27141512,1.578475288,1.751932346,1.695997527,0.471131385,0.492102296,0.462928412
73,0.489839143,0.522338297,0.320915956,1.629267983,1.797332665,1.681794595,0.477552928,0.476842982,0.463892055
74,0.364567171,0.700676469,0.258609263,1.641020978,1.5966383,1.639485914,0.471939554,0.47233063,0.455646524
75,0.377407954,0.528690506,0.308862446,1.59730658,1.776463995,1.642652369,0.487945907,0.48061066,0.459457169
76,0.536336436,0.494783851,0.420468112,1.632366888,1.698623999,1.587391487,0.470772624,0.502027566,0.454229046
77,0.595637617,0.359902071,0.309525638,1.550663755,1.660879382,1.685963617,0.462191512,0.485649701,0.488533534
78,0.570380035,0.445625424,0.359943713,1.63217576,1.6290824,1.626465679,0.473055812,0.482083891,0.475240684
79,0.505577838,0.473278736,0.327677752,1.625608572,1.714212814,1.719651934,0.475287761,0.488263853,0.452512977
80,0.535127045,0.586637167,0.408448624,1.607641023,1.698264946,1.678426172,0.468448574,0.494734577,0.455045163
81,0.450586161,0.611840075,0.307892725,1.616449486,1.715947648,1.608282186,0.465883289,0.481700758,0.459358666
82,0.54495503,0.606534346,0.259501224,1.646381194,1.652116441,1.627445712,0.472872762,0.48299152,0.453472616
83,0.350678658,0.62799017,0.240509133,1.570965273,1.630913876,1.637177882,0.471927416,0.49215206,0.478241106
84,0.452328634,0.471347088,0.238810899,1.554872206,1.705954174,1.672486092,0.471135326,0.470229348,0.467247368
85,0.519819281,0.539347674,0.22482856,1.585812659,1.638556407,1.683072237,0.464261353,0.495544773,0.46126459
86,0.471422896,0.469753394,0.320119315,1.561903964,1.718006719,1.695351364,0.460870428,0.485529539,0.463180449
87,0.604390748,0.462757184,0.218868373,1.550800832,1.628412563,1.688246261,0.482381102,0.479263551,0.479453506
88,0.574170966,0.536313327,0.277000114,1.57644122,1.674837559,1.652743422,0.461402029,0.485373455,0.473406416
89,0.460927356,0.535704762,0.242232198,1.598617507,1.625224663,1.651284679,0.475813727,0.483378181,0.45685922
90,0.56278869,0.544587998,0.24651592,1.595790594,1.62907978,1.688288237,0.448855041,0.495372995,0.444421671
91,0.437411758,0.516381426,0.256484326,1.598834617,1.685728487,1.657044344,0.474240332,0.476856956,0.475997937
92,0.516481677,0.489245902,0.323901267,1.574785637,1.661544232,1.709759236,0.479510358,0.481688492,0.460758992
93,0.425488625,0.358832325,0.153791014,1.551740651,1.657150269,1.731015035,0.46549481,0.468891059,0.472045982
94,0.399158715,0.454662663,0.245750808,1.626033367,1.695688091,1.714703117,0.466117098,0.479942537,0.465854575
95,0.542808064,0.452540481,0.241624548,1.624317659,1.677899419,1.606313136,0.469112939,0.491988413,0.469888741
96,0.377406186,0.461870239,0.29553976,1.677163808,1.687469879,1.594037108,0.48786057,0.501509344,0.45126253
97,0.490096656,0.596909098,0.190908027,1.665064935,1.657355103,1.691374943,0.467243758,0.488834261,0.468267137
98,0.501412278,0.605480561,0.252965261,1.638600528,1.705717081,1.649856133,0.47000469,0.476011728,0.455444126
99,0.583465029,0.458875149,0.164550653,1.638647041,1.622491391,1.647415304,0.461557834,0.482008992,0.463162748
100,0.371880883,0.503311962,0.336682158,1.631230987,1.682708916,1.654372648,0.455595847,0.494147599,0.448511283
101,0.460147944,0.524701818,0.271018246,1.65032881,1.740217173,1.604471763,0.465685426,0.477961334,0.459959112
102,0.450819745,0.429297314,0.298975838,1.615656982,1.703662883,1.705224962,0.469349762,0.480997009,0.446973393
103,0.635544814,0.630392635,0.250142691,1.584993788,1.684185113,1.61508862,0.481469388,0.50370253,0.460780555
104,0.340935531,0.557194248,0.309817683,1.546529094,1.635413941,1.701089092,0.49596798,0.498790927,0.467949857
105,0.411018706,0.441106406,0.330029651,1.611398491,1.682311335,1.574026476,0.481030629,0.468944786,0.477280495
106,0.417209964,0.612260938,0.238215978,1.62659926,1.60577944,1.565020345,0.475325517,0.469044549,0.463794151
107,0.398452464,0.542464749,0.189051394,1.588971799,1.718579984,1.577855772,0.452131154,0.478721571,0.449322994
108,0.486174907,0.519845862,0.289568801,1.60620861,1.724347625,1.682584843,0.456702542,0.470744475,0.47666297
109,0.589296557,0.620188321,0.13221741,1.624625413,1.620613873,1.665604353,0.478760159,0.488356897,0.477990633
110,0.580002135,0.653146936,0.353206579,1.697291922,1.645740087,1.629950018,0.475290157,0.490258313,0.466643657
111,0.489267037,0.627534591,0.339564617,1.607707423,1.648372669,1.661628362,0.470243904,0.503381607,0.471850397
112,0.433411319,0.590959445,0.198775836,1.618508894,1.6730095,1.659658307,0.474721478,0.479763661,0.470867653
113,0.55872736,0.457666009,0.311748385,1.611935364,1.694272639,1.583454774,0.471953384,0.467256378,0.475886681
114,0.495854403,0.487593393,0.349425479,1.626619945,1.681098694,1.732619422,0.475783374,0.476236386,0.453175792
115,0.472879942,0.564573696,0.407075241,1.668399792,1.635076521,1.688819225,0.486931564,0.477082179,0.44100221
116,0.486550361,0.702756676,0.2564134,1.570406832,1.673244728,1.720961947,0.481639487,0.503404786,0.467392731
117,0.539594144,0.56594472,0.265584056,1.501804277,1.604182342,1.639717013,0.475353843,0.469587048,0.467914894
118,0.54809579,0.515621292,0.37001756,1.525291579,1.751476966,1.745909864,0.466820266,0.47628763,0.480595134
119,0.454295808,0.46596172,0.210746947,1.628988946,1.563326026,1.751467744,0.486415493,0.476620087,0.471842934
120,0.410699265,0.569913498,0.28823445,1.594462491,1.602816938,1.677916833,0.477918095,0.502990447,0.477257554
121,0.497375685,0.481383858,0.264655936,1.569613247,1.754755118,1.658000667,0.476472862,0.483088957,0.467525785
122,0.55312471,0.539755393,0.241826452,1.609974594,1.645515659,1.632635362,0.471998647,0.480352176,0.479262186
123,0.521228972,0.47788751,0.237803842,1.664448864,1.672493583,1.639556773,0.46831142,0.499782458,0.463553103
124,0.426985426,0.356921505,0.228481901,1.649656728,1.664353574,1.682482706,0.463492287,0.479157873,0.477538963
125,0.458073415,0.363158913,0.204382892,1.630027903,1.658996848,1.674602176,0.468274712,0.496266818,0.478507095
126,0.509394246,0.55414342,0.375557239,1.599189727,1.636067153,1.730503658,0.46796871,0.473812637,0.476697267
127,0.444988982,0.51215695,0.318698521,1.592438469,1.568811836,1.639917262,0.477100587,0.486069813,0.472752334
128,0.517936784,0.569021139,0.439713302,1.620532239,1.746863113,1.706678794,0.484832394,0.478597767,0.465158664
129,0.483670295,0.444370074,0.257862582,1.638379827,1.611256072,1.618645644,0.472775037,0.495710805,0.472102776
130,0.606586045,0.524571123,0.382093893,1.650423532,1.670538894,1.735987696,0.471075395,0.484106999,0.459759506
131,0.435824529,0.448573339,0.398634192,1.520668214,1.611644891,1.636480486,0.470222113,0.483094294,0.464201823
132,0.463905517,0.648078549,0.202832351,1.527747239,1.691030021,1.664662237,0.47399659,0.484164814,0.471437188
133,0.467085973,0.543742431,0.22425864,1.585724931,1.665967403,1.578673546,0.470119535,0.481838414,0.459292413
134,0.452651197,0.581179456,0.267538624,1.588941154,1.60283635,1.551682502,0.485659023,0.477814437,0.45731122
135,0.409965134,0.432049557,0.186744986,1.57395421,1.632727539,1.645303157,0.481371518,0.497725142,0.458872742
136,0.499902429,0.491197528,0.348612956,1.563481958,1.596989294,1.780240622,0.484897352,0.510403747,0.458651574
137,0.376369321,0.519343061,0.355950839,1.581250323,1.624553609,1.723816085,0.467455692,0.499995513,0.466598945
138,0.602151164,0.562130061,0.2785098,1.61128377,1.705489031,1.710157459,0.477006146,0.47962566,0.473837682
139,0.502663315,0.448637279,0.258968234,1.663865278,1.627353804,1.741990705,0.475449361,0.497668965,0.466438063
140,0.571018596,0.5301238,0.227527218,1.655956411,1.636324699,1.721847984,0.466534791,0.503086847,0.464055526
141,0.467016752,0.456560777,0.308986006,1.516139109,1.600105075,1.702054837,0.473237253,0.50283681,0.475369851
142,0.457799262,0.480921312,0.198086518,1.532153864,1.699177427,1.657822468,0.459659064,0.476876938,0.457740414
143,0.415601117,0.534343653,0.287413867,1.512939963,1.714626525,1.708506564,0.483687023,0.501728485,0.465723423
144,0.543718058,0.593821535,0.33694129,1.545745441,1.695165366,1.661946903,0.481732999,0.489690722,0.447160771
145,0.439030974,0.581331639,0.193107398,1.593233505,1.706926296,1.653271317,0.471855624,0.480985061,0.458645899
146,0.488132192,0.672631469,0.442109249,1.59707732,1.698915827,1.638751996,0.478788174,0.470091637,0.498640785
147,0.410018721,0.45518398,0.339697874,1.561743368,1.692694054,1.715381523,0.50996805,0.472130448,0.459568264
148,0.469345388,0.599854423,0.391563298,1.582697853,1.687585804,1.71413858,0.485186536,0.484965301,0.441166111
149,0.453390903,0.461342232,0.241235641,1.549083156,1.693406743,1.724393993,0.504236556,0.459218488,0.462549272
150,0.467029057,0.321602548,0.340615756,1.619426239,1.654484325,1.716977679,0.483185949,0.474697914,0.478456447
151,0.383122588,0.587121141,0.225369994,1.583546646,1.650980712,1.630808101,0.476467522,0.481813603,0.49072514
152,0.492553245,0.493180414,0.241146463,1.616098933,1.744667364,1.620419577,0.473883927,0.493396914,0.48513983
153,0.468063621,0.520477824,0.364778285,1.642011428,1.70780307,1.642796538,0.476622926,0.495728361,0.467437722
154,0.491493041,0.569713644,0.256560111,1.679660508,1.649185968,1.639660961,0.485116436,0.482833067,0.473189901
155,0.393709426,0.526941492,0.269264716,1.573507435,1.672555429,1.684990686,0.478822204,0.474656117,0.473264451
156,0.48082411,0.548310657,0.286226314,1.62720793,1.662409781,1.720880863,0.468330394,0.491370915,0.484488268
157,0.427939349,0.471035446,0.268687091,1.531636059,1.660772662,1.705862715,0.472618827,0.474784605,0.483368121
158,0.46867664,0.434426318,0.237264016,1.542128317,1.579606856,1.731246478,0.506733865,0.487869515,0.476356249
159,0.475707366,0.605034093,0.311074499,1.541811382,1.650541346,1.608912366,0.478407768,0.471046382,0.473271242
160,0.398919594,0.502486319,0.25946532,1.547187746,1.64348459,1.764840459,0.46284472,0.459760252,0.472414988
161,0.571202133,0.426904051,0.251009187,1.618454536,1.662062152,1.655817749,0.46573243,0.481083865,0.476271889
162,0.60872767,0.485461612,0.246452916,1.631390564,1.684987711,1.652656869,0.458790083,0.467357674,0.472836124
163,0.469774476,0.542821023,0.280367905,1.562201993,1.658835241,1.648059344,0.478431636,0.468037641,0.481614097
164,0.499386782,0.440407659,0.400890294,1.595183239,1.701076949,1.716769628,0.460759448,0.469737629,0.466534362
165,0.536622544,0.598549598,0.362226121,1.576163862,1.673997443,1.668350867,0.468257057,0.468483275,0.445215567
166,0.482254729,0.563412687,0.279359749,1.599218132,1.640621322,1.672818398,0.467198796,0.483248887,0.4721345
167,0.679288312,0.707607201,0.328516373,1.584936729,1.70473944,1.71909462,0.479945376,0.484790637,0.445166981
168,0.505737846,0.532642884,0.267279576,1.566576699,1.673412586,1.666171453,0.469260405,0.449290442,0.446432617
169,0.55068559,0.59923892,0.207964508,1.654460662,1.648945846,1.716470141,0.468962939,0.459983596,0.458722786
170,0.531151026,0.530123557,0.281617903,1.615341218,1.645275933,1.712187112,0.481918702,0.471520545,0.452603493
171,0.544756364,0.552597945,0.233065978,1.620349796,1.666203235,1.648860905,0.471618119,0.469259851,0.467850897
172,0.502779267,0.682824848,0.313066116,1.549709873,1.647569292,1.652681972,0.486859265,0.477087387,0.470845848
173,0.434640734,0.631663249,0.300405126,1.607082627,1.686855693,1.720788466,0.468595819,0.485924169,0.468334679
174,0.365409,0.583788381,0.227585527,1.614807461,1.757292303,1.727681958,0.461356145,0.455899609,0.462287776
175,0.556094703,0.48708747,0.32025257,1.594368756,1.74099613,1.60029784,0.449502587,0.479143161,0.458248747
176,0.371630165,0.629875759,0.333118852,1.632639204,1.60280444,1.691676931,0.478328449,0.487418851,0.485317786
177,0.56736965,0.673804659,0.424651838,1.602179106,1.701947629,1.698224754,0.47178006,0.481702168,0.473726436
178,0.501565038,0.496678532,0.279057159,1.665755035,1.710850898,1.684347531,0.462904141,0.486132861,0.457612046
179,0.533289266,0.583628233,0.343415811,1.638805206,1.623486389,1.611826649,0.470291462,0.475856746,0.476321171
180,0.532652306,0.499350729,0.327402376,1.60471571,1.733861962,1.633107331,0.484171744,0.478670893,0.453615001
181,0.591087043,0.38932675,0.413105173,1.56168832,1.725534118,1.577306063,0.460618247,0.480953875,0.475100024
182,0.540609797,0.458625464,0.280258576,1.673171743,1.710246034,1.654707825,0.452042159,0.482456304,0.488705441
183,0.581414315,0.607501,0.268743788,1.548856462,1.666344626,1.66680167,0.468771258,0.479720306,0.463865736
184,0.496220827,0.633301627,0.192451909,1.579617749,1.726675329,1.617436259,0.464568155,0.485294017,0.458050807
185,0.452811475,0.539048301,0.296863516,1.602968263,1.585557449,1.644598165,0.483189729,0.468751598,0.475111331
186,0.435997857,0.522802426,0.413690754,1.589984747,1.680524365,1.710819408,0.478103021,0.499028357,0.446943657
187,0.472973358,0.4413823,0.215889531,1.583976486,1.651232743,1.685478961,0.472879579,0.508741718,0.468538231
188,0.403162998,0.516749534,0.138309422,1.544715024,1.651079832,1.599316764,0.474527914,0.498308704,0.480626964
189,0.518787112,0.420108955,0.214145538,1.562501658,1.677709093,1.716596295,0.467022574,0.481790203,0.462402809
190,0.476780728,0.41959729,0.279881982,1.550496664,1.612158184,1.656091471,0.464044576,0.488934843,0.458112632
191,0.500006297,0.380070875,0.238545977,1.598764317,1.711272636,1.634149089,0.506914732,0.505000599,0.460046625
192,0.42519532,0.636861326,0.290745572,1.666882181,1.605732936,1.742786385,0.470245399,0.482622036,0.464411734
193,0.62804188,0.579333025,0.476612034,1.598165535,1.73416301,1.626231457,0.481352097,0.47380671,0.477147224
194,0.614641677,0.525683966,0.306697797,1.629615241,1.728127375,1.653766631,0.460042454,0.49741101,0.466998716
195,0.526923022,0.478699863,0.523376432,1.606349875,1.655843581,1.685791689,0.475831669,0.502421318,0.481890228
196,0.430295693,0.47831295,0.418011493,1.655916279,1.671650021,1.721694989,0.484949781,0.475246491,0.451954315
197,0.550130829,0.387529039,0.32672807,1.63925117,1.636365827,1.71882994,0.485297085,0.500221257,0.439589186
198,0.396844845,0.487785244,0.303042802,1.635248963,1.619833344,1.687600084,0.483892206,0.49079866,0.444731222
199,0.526777275,0.617253039,0.285111879,1.575707952,1.620620247,1.641263063,0.475537909,0.479269081,0.478170928
200,0.563143639,0.414546999,0.327237409,1.5506093,1.676013538,1.656329443,0.456714355,0.487610563,0.46965257
201,0.622562446,0.626041114,0.391768383,1.544122019,1.71600567,1.548142196,0.466385621,0.476081479,0.459161142
202,0.503380192,0.417271379,0.233304795,1.616074663,1.606218238,1.74356941,0.471874863,0.473956761,0.455400666
203,0.485208858,0.506064127,0.257809293,1.577582255,1.662797606,1.714083933,0.481930866,0.460621493,0.429661463
204,0.527160458,0.507696661,0.39068849,1.609236538,1.584382069,1.747668441,0.459838936,0.491253495,0.451642837
205,0.402511287,0.56099589,0.291608415,1.604472742,1.730573639,1.752905713,0.48684957,0.488977901,0.459217625
206,0.41066914,0.361044824,0.277552553,1.558378216,1.658924645,1.628971901,0.4875731,0.447344485,0.455488835
207,0.458521142,0.564725597,0.27460905,1.625918237,1.679781752,1.605098963,0.489767243,0.457688922,0.465688343
208,0.465742068,0.539200786,0.266362207,1.623954883,1.675270368,1.715984563,0.495928331,0.476933235,0.47098445
209,0.526088624,0.453699395,0.2632763,1.548597538,1.763462177,1.672772421,0.480378656,0.485617516,0.464598571
210,0.580890351,0.576261239,0.17853986,1.590517012,1.65160941,1.672124919,0.462007203,0.462616256,0.474620231
211,0.471556865,0.531611731,0.396896382,1.57825432,1.647549168,1.669908781,0.480874642,0.491231555,0.46644456
212,0.57920045,0.632677897,0.403550211,1.594578223,1.690771608,1.692293739,0.478244944,0.463524052,0.466929243
213,0.496169986,0.492009739,0.385958031,1.592945948,1.631507225,1.622462075,0.454482511,0.489698167,0.455616098
214,0.519420469,0.525531849,0.332607256,1.590217762,1.6975159,1.697618471,0.461086784,0.487712639,0.474369633
215,0.396505966,0.458994864,0.237393488,1.625487665,1.613772882,1.597328619,0.463913884,0.500964034,0.467667232
216,0.410080904,0.440150034,0.250423139,1.654333381,1.659842575,1.596555389,0.466455449,0.481082791,0.45092001
217,0.412673311,0.511060213,0.279348917,1.587082654,1.685119285,1.667694216,0.449039502,0.482944016,0.471242416
218,0.526427109,0.605112019,0.310755251,1.584537847,1.735153217,1.675354447,0.475646081,0.481701934,0.460281959
219,0.496049338,0.442945951,0.406976987,1.609917274,1.721468736,1.66619481,0.471637845,0.479918732,0.460983574
220,0.642778194,0.455104073,0.410350506,1.615024426,1.678804456,1.7276146,0.472031763,0.480454708,0.459939643
221,0.578219926,0.443101457,0.390408259,1.599655749,1.726352025,1.732301867,0.477267304,0.477745892,0.464822198
222,0.421569161,0.491377653,0.12692388,1.651303142,1.698375122,1.644391917,0.49748272,0.467198875,0.460159862
223,0.498566767,0.516235528,0.2382885,1.549400466,1.617955109,1.632631497,0.489368648,0.473501194,0.461130176
224,0.528928188,0.672196465,0.111677571,1.549015862,1.749527477,1.683760369,0.4655985,0.482069922,0.463992224
225,0.49652235,0.436400377,0.191959426,1.598808786,1.633389066,1.696928784,0.459349263,0.488175469,0.46498425
226,0.583686827,0.54000878,0.195495819,1.639454836,1.719668947,1.684627245,0.474673223,0.501649082,0.464717094
227,0.348609665,0.38784615,0.292384751,1.617750046,1.782902444,1.661979519,0.479146153,0.483401089,0.471884005
228,0.409837177,0.403382727,0.226733532,1.586140859,1.705578379,1.665426106,0.477662446,0.469048639,0.463553219
229,0.514456019,0.384908855,0.316457622,1.624545447,1.714462647,1.659900801,0.490468036,0.478056665,0.457848888
230,0.627385062,0.574903742,0.352347901,1.673588075,1.718458964,1.662409756,0.495943049,0.476216777,0.478658421
231,0.457771425,0.385684342,0.347453593,1.550835799,1.716876499,1.668192739,0.489873104,0.485549945,0.472828019
232,0.51541564,0.501718634,0.278947281,1.654958595,1.731656177,1.59124653,0.474215047,0.490226284,0.465975608
233,0.434554261,0.517328924,0.264833021,1.527205826,1.726554892,1.732948035,0.460912926,0.488957218,0.454962296
234,0.613569515,0.498932568,0.331807482,1.578195996,1.622513328,1.658018663,0.457246717,0.483999059,0.449222542
235,0.440221545,0.614206623,0.315222574,1.604257447,1.606307403,1.653538058,0.481307125,0.482479396,0.45188587
236,0.5178685,0.562116755,0.320238408,1.578786301,1.715896852,1.689306638,0.484101564,0.477320089,0.487102267
237,0.487756984,0.616575055,0.320520975,1.600499992,1.677893773,1.656088949,0.488963897,0.477956793,0.460756967
238,0.513553921,0.480961816,0.406603115,1.627924878,1.700893897,1.664873553,0.470174702,0.491421138,0.465330309
239,0.613320699,0.466765291,0.199276443,1.637334325,1.707451127,1.658957532,0.481645373,0.46688127,0.465264145
240,0.505206484,0.469873569,0.215047424,1.53022871,1.695165221,1.65703051,0.478374185,0.501374741,0.472230622
241,0.578471215,0.561321602,0.19001986,1.618793614,1.693222554,1.673186538,0.487381062,0.478889369,0.457805136
242,0.364789784,0.618191335,0.200991739,1.58266349,1.666642785,1.609052892,0.475785541,0.484289523,0.463113494
243,0.38362923,0.460147623,0.345905326,1.601361982,1.715276478,1.676758561,0.456692084,0.466639861,0.462668029
244,0.471383073,0.511857717,0.272074884,1.635316602,1.635148828,1.643298705,0.483714057,0.453501541,0.451927922
245,0.498791794,0.574173842,0.291020605,1.609110654,1.650134463,1.694289246,0.473163388,0.463254178,0.460110173
